,,,,,,,,,,,,,,,,,,,,,Purchase Order
,,,,,,,,,,,,,,PO Number:,153-030326,,,,,,
,,,,,,,,,,,,,,Dealer Account:,256100,,,,,,
,,,,,,,,,,,,,,Date:,03/03/26,,,,,,
,,,,,,,,,,,,,,Ship Via:,Default,,,,,,
,Vendor,,,,,,,,,,,Ship To,,,,,,,,,
,Steven Willand,,,,,,,,,,,Jacks Small Engines,,,,,,,,,
,PO BOX 9,,,,,,,,,,,,,,,,,,,,
,"AUGUSTA, NJ  07822",,,,,,,,,,,105 Industry Lane,,,,,,,,,
,Phone: (973) 579-5656  Fax: (866) 256-2513,,,,,,,,,,,"Forest Hill, MD  21050",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Item # ,,Qty Ordered,,,Part Number,,,,,,Description,,,,Cost,,,,Extended,
,Classen Parts,,,,,,,,,,,,,,,,,,,,
,1.,,4,,,100035,,,,,,"SPRING, THROTTLE CABL",,,,$5.00,,,,$20.00,
,2.,,2,,,100327,,,,,,CABLE ASSEMBLY,,,,$56.94,,,,$113.88,
,3.,,2,,,200015,,,,,,SPROCKET W/ 2  HUB BO,,,,$33.05,,,,$66.10,
,4.,,113,,,300019,,,,,,"FINGER, RAKE",,,,$2.32,,,,$262.16,
,5.,,1,,,4169633,,,,,,"WHEEL DRIVE, SA 25",,,,$198.62,,,,$198.62,
,6.,,2,,,4173082,,,,,,BELT   AK34,,,,$19.28,,,,$38.56,
,7.,,1,,,4173217,,,,,,S TA18 CABLE ASSEMBLY,,,,$10.09,,,,$10.09,
,8.,,1,,,4177232,,,,,,S ECCENTRIC CAM KIT,,,,$153.47,,,,$153.47,
,9.,,1,,,700011,,,,,,"PLATE W/STUDS, INNER",,,,$23.46,,,,$23.46,
,10.,,2,,,C100053,,,,,,CABLE ASSEMBLY,,,,$25.08,,,,$50.16,
,,,,,,,,,,,,,,,,Sub Total for Classen Parts:,,,,$936.50,
,Little Wonder   Mantis        ,,,,,,,,,,,,,,,,,,,,
,11.,,1,,,130326-1152-2,,,,,,Lid Cleaner,,,,$11.26,,,,$11.26,
,12.,,1,,,140,,,,,,Bolt 1/4 20 x 3/8,,,,$0.83,,,,$0.83,
,13.,,1,,,195P,,,,,,Special Belt Guard En,,,,$57.11,,,,$57.11,
,14.,,1,,,209,,,,,,"ASSY FLAP, MUD",,,,$30.06,,,,$30.06,
,15.,,1,,,400290SH,,,,,,Handle Assy Right 4 C,,,,$40.90,,,,$40.90,
,16.,,1,,,900302,,,,,,Set of 2 pcs of P/N 9,,,,$19.72,,,,$19.72,
,17.,,3,,,910131,,,,,,KNOB,,,,$4.72,,,,$14.16,
,18.,,16,,,C100678,,,,,,"Bearing, Journal",,,,$5.91,,,,$94.56,
,,,,,,,,,,,,,,,,Sub Total for Little Wonder   ,,,,$268.60,
,Red Max                       ,,,,,,,,,,,,,,,,,,,,
,19.,,1,,,501403402,,,,,,CLUTCH SPRING,,,,$3.24,,,,$3.24,
,20.,,1,,,503843201,,,,,,IGNITION MODULE,,,,$55.24,,,,$55.24,
,21.,,1,,,505180901,,,,,,HOSE,,,,$14.94,,,,$14.94,
,22.,,2,,,505181101,,,,,,SWIVEL JOINT,,,,$12.99,,,,$25.98,
,23.,,2,,,506255906,,,,,,TANK CAP ASSY,,,,$8.44,,,,$16.88,
,24.,,4,,,506264101,,,,,,FUEL FILTER,,,,$6.49,,,,$25.96,
,25.,,3,,,506707001,,,,,,CLIP,,,,$1.94,,,,$5.82,
,26.,,1,,,511755301,,,,,,COVER.ENGINE,,,,$32.49,,,,$32.49,
